Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,How do you think the COMMUNICATOR would feel about eliminating race-based Affirmative Action?,How do you think the COMMUNICATOR would feel about increasing the level of legal immigration?,How do you think the COMMUNICATOR would feel about increasing taxes on the wealthy?,How do you think the COMMUNICATOR would feel about legalizing same-sex marriage?,What was the name of the man that the COMMUNICATOR described?,What is the likelihood that the COMMUNICATOR is either a Democrat or a Republican?,What is your marital status?,What is your gender?,What is your age?,Are you a US citizen?,How many children live in your household? (0-10),Approximately how many surveys have you completed in the last 30 days? (0-1000),What is your race/ethnity? - Selected Choice,What is your race/ethnity? - Other - Text,"How warmly do you feel toward Democrats, in general? (0: Least Warm - 100: Most Warm)",I endorse many aspects of conservative political ideology.,I endorse many aspects of liberal political ideology.,"In general, how would you describe your political views on social issues?","Generally speaking, do you usually consider yourself a Democrat, a Republican, an Independent, or affiliated with another political party?",Note if you have completed a survey like this before and if anything seemed strange.,Mturk Code,Q12 - Topics,LIB Condition - Display Order,Social Categorization of Communicator - Display Order
2018-12-03 22:31:49,2018-12-03 22:33:23,IP Address,100,94,True,2018-12-03 22:33:24,anonymous,EN,1 - Strongly opposed,7 - Strongly in favor,7 - Strongly in favor,4 - Neutral,Peter,7 - Definitely a Democrat,Single,Female,31,Yes,1,50,White,,50,Strongly agree,Strongly disagree,Very conservative,Republican,,5592045,,Q3,Q7|Q6|Q5|Q24|Q26
2018-12-03 22:32:21,2018-12-03 22:33:29,IP Address,100,67,True,2018-12-03 22:33:29,anonymous,EN,2 - Moderately opposed,6 - Moderately in favor,3 - Slightly opposed,7 - Strongly in favor,Peter,6,Single,Male,36,Yes,0,1000,White,,50,Neither agree nor disagree,Neither agree nor disagree,Middle of the road,none,,45270,,Q4,Q7|Q5|Q6|Q24|Q26
2018-12-03 22:32:08,2018-12-03 22:34:31,IP Address,100,142,True,2018-12-03 22:34:31,anonymous,EN,3 - Slightly opposed,5 - Slightly in favor,3 - Slightly opposed,5 - Slightly in favor,Pete,5,Single,Male,28,Yes,0,600,White,,75,Disagree,Agree,Somewhat liberal,Democrat,No,3633482,,Q3,Q26|Q5|Q24|Q7|Q6
2018-12-03 22:32:14,2018-12-03 22:34:31,IP Address,100,137,True,2018-12-03 22:34:32,anonymous,EN,4 - Neutral,4 - Neutral,7 - Strongly in favor,6 - Moderately in favor,Peter,7 - Definitely a Democrat,Single,Female,34,Yes,0,50,White,,89,Strongly disagree,Strongly agree,Very liberal,Democrat,,7500850,,Q3,Q26|Q24|Q7|Q5|Q6
2018-12-03 22:32:14,2018-12-03 22:34:33,IP Address,100,139,True,2018-12-03 22:34:34,anonymous,EN,5 - Slightly in favor,3 - Slightly opposed,2 - Moderately opposed,3 - Slightly opposed,Peter,3,Single,Male,36,Yes,0,250,White,,60,Somewhat disagree,Somewhat agree,Somewhat liberal,Independent,Everything seemed fine.,6203131,,Q4,Q6|Q7|Q24|Q26|Q5
2018-12-03 22:31:59,2018-12-03 22:34:35,IP Address,100,155,True,2018-12-03 22:34:35,anonymous,EN,3 - Slightly opposed,5 - Slightly in favor,5 - Slightly in favor,5 - Slightly in favor,Peter,6,Married,Male,39,Yes,3,25,White,,10,Strongly agree,Strongly disagree,Very conservative, Republican,I have not done one like this.  Nothing really seemed strange. ,3574313,,Q4,Q5|Q7|Q26|Q24|Q6
2018-12-03 22:32:30,2018-12-03 22:34:40,IP Address,100,129,True,2018-12-03 22:34:41,anonymous,EN,5 - Slightly in favor,5 - Slightly in favor,5 - Slightly in favor,5 - Slightly in favor,Peter,5,Married,Female,33,Yes,0,100,White,,50,Somewhat agree,Somewhat agree,Middle of the road,Independent,I have not done this before and it all worked well.,2478785,,Q3,Q7|Q6|Q24|Q5|Q26
2018-12-03 22:32:17,2018-12-03 22:34:44,IP Address,100,146,True,2018-12-03 22:34:44,anonymous,EN,3 - Slightly opposed,4 - Neutral,5 - Slightly in favor,6 - Moderately in favor,Peter,5,Single,Male,33,Yes,0,20,White,,60,Disagree,Somewhat agree,Very liberal,Independent,,9505602,,Q3,Q5|Q7|Q6|Q26|Q24
2018-12-03 22:32:36,2018-12-03 22:34:46,IP Address,100,130,True,2018-12-03 22:34:47,anonymous,EN,3 - Slightly opposed,4 - Neutral,4 - Neutral,3 - Slightly opposed,Peter,4,Single,Female,25,Yes,0,50,White,,5,Somewhat disagree,Neither agree nor disagree,Somewhat liberal,Democrat,,7629252,,Q4,Q6|Q26|Q24|Q7|Q5
2018-12-03 22:32:12,2018-12-03 22:34:48,IP Address,100,155,True,2018-12-03 22:34:48,anonymous,EN,3 - Slightly opposed,6 - Moderately in favor,7 - Strongly in favor,6 - Moderately in favor,Peter,6,Single,Male,33,Yes,3,600,Asian,,70,Somewhat disagree,Somewhat agree,Somewhat liberal,Democrat ,,3135329,,Q3,Q24|Q6|Q5|Q7|Q26
